time,episode,episode_time,mode,pos_x,pos_y,pos_z,target_x,target_y,target_z,position_error,speed,angular_speed,energy_proxy,average_thrust,average_health,m0_health,m0_cmd,m0_pitch_deg,m0_yaw_deg,m0_effective_thrust,m0_energy,m1_health,m1_cmd,m1_pitch_deg,m1_yaw_deg,m1_effective_thrust,m1_energy,m2_health,m2_cmd,m2_pitch_deg,m2_yaw_deg,m2_effective_thrust,m2_energy,m3_health,m3_cmd,m3_pitch_deg,m3_yaw_deg,m3_effective_thrust,m3_energy,m4_health,m4_cmd,m4_pitch_deg,m4_yaw_deg,m4_effective_thrust,m4_energy,m5_health,m5_cmd,m5_pitch_deg,m5_yaw_deg,m5_effective_thrust,m5_energy
6.40318,1,6.41999,BaselineAllocator,-0.684859,2.46435,1.62717,-1.66567,2.44519,0.698781,1.35065,1.43367,0.0455209,0.276167,0.0768647,1,1,0,0,0,0,0.00075901,1,0.0922376,7.13238,-11.112,3.22832,0.0550817,1,0.0922376,6.58315,64.8226,3.22832,0.0550817,1,0.0922376,6.58316,-64.8226,3.22832,0.0550817,1,0.0922376,62.7875,-22.4556,3.22832,0.0550817,1,0.0922376,-62.7875,-22.4556,3.22832,0.0550817
6.60399,1,6.61999,BaselineAllocator,-0.947208,2.47014,1.51011,-1.8788,2.44519,0.485651,1.38491,1.44239,0.0327769,0.284645,0.0766126,1,1,0,0,0,0,0.00075901,1,0.0919351,7.54265,-10.8962,3.21773,0.0567772,1,0.0919351,6.95624,64.8017,3.21773,0.0567772,1,0.0919351,6.95624,-64.8017,3.21773,0.0567772,1,0.0919351,62.8692,-22.0665,3.21773,0.0567772,1,0.0919351,-62.8692,-22.0665,3.21773,0.0567772
6.80433,1,6.81999,BaselineAllocator,-1.19875,2.47609,1.36519,-2.0913,2.44519,0.273148,1.41072,1.46176,0.0257137,0.293063,0.0763291,1,1,0,0,0,0,0.00075901,1,0.0915949,7.47838,-10.4192,3.20582,0.0584608,1,0.0915949,6.88639,64.8057,3.20582,0.0584608,1,0.0915949,6.88639,-64.8057,3.20582,0.0584608,1,0.0915949,63.0451,-21.1979,3.20582,0.0584608,1,0.0915949,-63.0451,-21.1979,3.20582,0.0584608
7.00473,1,7.01999,BaselineAllocator,-1.44018,2.48117,1.19579,-2.30382,2.44519,0.0606231,1.42681,1.48674,0.0244431,0.301422,0.0760787,1,1,0,0,0,0,0.00075901,1,0.0912944,7.04225,-9.80552,3.1953,0.0601325,1,0.0912944,6.47308,64.8285,3.1953,0.0601325,1,0.0912944,6.47308,-64.8285,3.1953,0.0601325,1,0.0912944,63.2613,-20.0632,3.1953,0.0601325,1,0.0912944,-63.2613,-20.0632,3.1953,0.0601325
7.20913,1,7.21999,BaselineAllocator,-1.67224,2.48283,1.00593,-2.482,2.32079,-0.117557,1.39434,1.50761,0.0316056,0.309489,0.0732963,1,1,0,0,0,0,0.00075901,1,0.0879556,6.59403,-8.60087,3.07845,0.0617459,1,0.0879556,6.04113,64.8507,3.07845,0.0617459,1,0.0879556,6.04113,-64.8507,3.07845,0.0617459,1,0.0879556,63.6521,-17.7816,3.07845,0.0617459,1,0.0879556,-63.6521,-17.7816,3.07845,0.0617459
7.40985,1,7.41999,BaselineAllocator,-1.89446,2.4688,0.800962,-2.66951,2.16188,-0.305065,1.38499,1.518,0.0382505,0.316932,0.0712831,1,1,0,0,0,0,0.00075901,1,0.0855397,5.87736,-7.20015,2.99389,0.0632347,1,0.0855397,5.36704,64.8823,2.99389,0.0632347,1,0.0855397,5.36704,-64.8823,2.99389,0.0632347,1,0.0855397,64.048,-15.0446,2.99389,0.0632347,1,0.0855397,-64.048,-15.0446,2.99389,0.0632347
7.61042,1,7.61999,BaselineAllocator,-2.10728,2.43413,0.585471,-2.88233,2.16188,-0.517882,1.37557,1.52997,0.0311774,0.324501,0.0733987,1,1,0,0,0,0,0.00075901,1,0.0880784,4.72146,-6.54195,3.08274,0.0647484,1,0.0880784,4.30615,64.9243,3.08274,0.0647484,1,0.0880784,4.30615,-64.9243,3.08274,0.0647484,1,0.0880784,64.2116,-13.7299,3.08274,0.0647484,1,0.0880784,-64.2115,-13.7299,3.08274,0.0647484
7.8111,1,7.81999,BaselineAllocator,-2.31302,2.38841,0.362117,-3.09527,2.16188,-0.73083,1.363,1.53917,0.0275652,0.332451,0.0749544,1,1,0,0,0,0,0.00075901,1,0.0899453,3.63591,-6.06765,3.14809,0.0663384,1,0.0899453,3.31338,64.9553,3.14809,0.0663384,1,0.0899453,3.31338,-64.9553,3.14809,0.0663384,1,0.0899453,64.3203,-12.772,3.14809,0.0663384,1,0.0899453,-64.3203,-12.772,3.14809,0.0663384
8.01152,1,8.01999,BaselineAllocator,-2.51375,2.34015,0.133274,-3.29374,2.2233,-0.929295,1.32329,1.54024,0.0262124,0.340725,0.0771189,1,1,0,0,0,0,0.00075901,1,0.0925427,2.65296,-5.34704,3.239,0.0679931,1,0.0925427,2.41474,64.9763,3.239,0.0679931,1,0.0925427,2.41474,-64.9763,3.239,0.0679931,1,0.0925427,64.4706,-11.3013,3.23899,0.0679931,1,0.0925427,-64.4706,-11.3013,3.23899,0.0679931
8.21174,1,8.22,BaselineAllocator,-2.70933,2.30252,-0.0980203,-3.34439,2.42475,-1.13074,1.21851,1.50861,0.0291471,0.34979,0.0810245,1,1,0,0,0,0,0.00075901,1,0.0972294,3.46998,-3.34398,3.40303,0.0698062,1,0.0972294,3.14991,64.9596,3.40303,0.0698062,1,0.0972294,3.1499,-64.9596,3.40303,0.0698062,1,0.0972294,64.7916,-7.13015,3.40303,0.0698062,1,0.0972294,-64.7916,-7.13016,3.40303,0.0698062
8.41274,1,8.42,BaselineAllocator,-2.89224,2.29369,-0.329406,-3.36947,2.66367,-1.25612,1.10609,1.44642,0.0511663,0.359622,0.0839097,1,1,0,0,0,0,0.00075901,1,0.100692,4.0461,-0.617032,3.52421,0.0717726,1,0.100692,3.66673,64.9452,3.52421,0.0717726,1,0.100692,3.66674,-64.9452,3.52421,0.0717726,1,0.100692,64.9929,-1.32299,3.52421,0.0717726,1,0.100692,-64.9929,-1.32299,3.52421,0.0717726
8.61337,1,8.62001,BaselineAllocator,-3.0584,2.32551,-0.553698,-3.41179,2.89678,-1.25612,0.971923,1.37202,0.0682339,0.369897,0.0850436,1,1,0,0,0,0,0.00075901,1,0.102052,2.6469,2.636,3.57183,0.0738276,1,0.102052,2.4013,64.9765,3.57183,0.0738276,1,0.102052,2.4013,-64.9765,3.57183,0.0738276,1,0.102052,64.8703,5.63273,3.57183,0.0738276,1,0.102052,-64.8703,5.63273,3.57183,0.0738276
8.81392,1,8.82001,BaselineAllocator,-3.20107,2.39802,-0.760331,-3.11056,2.89678,-1.25612,0.70906,1.24549,0.11761,0.3799,0.0820352,1,1,0,0,0,0,0.00075901,1,0.0984423,5.60743,8.91836,3.44548,0.0758282,1,0.0984423,5.14235,64.892,3.44548,0.0758282,1,0.0984423,5.14234,-64.892,3.44548,0.0758282,1,0.0984423,63.5535,18.3897,3.44548,0.0758282,1,0.0984423,-63.5535,18.3897,3.44548,0.0758282
9.01485,1,9.02002,BaselineAllocator,-3.30155,2.49494,-0.942869,-2.80935,2.89678,-1.25612,0.708426,1.07013,0.129652,0.389341,0.0802345,1,1,0,0,0,0,0.00075901,1,0.0962814,8.27622,14.3341,3.36985,0.0777164,1,0.0962814,7.73316,64.7546,3.36985,0.0777164,1,0.0962814,7.73317,-64.7546,3.36985,0.0777164,1,0.0962814,61.4132,27.965,3.36985,0.0777164,1,0.0962814,-61.4132,27.965,3.36985,0.0777164
9.21555,1,9.22002,BaselineAllocator,-3.34767,2.60225,-1.09794,-2.5093,2.89678,-1.25612,0.902571,0.900957,0.110808,0.398453,0.0790247,1,1,0,0,0,0,0.00075901,1,0.0948296,10.3016,18.4063,3.31904,0.0795388,1,0.0948296,9.81753,64.6023,3.31904,0.0795388,1,0.0948296,9.81753,-64.6023,3.31904,0.0795388,1,0.0948296,59.3101,34.1033,3.31904,0.0795388,1,0.0948296,-59.3101,34.1033,3.31904,0.0795388
